연도,매출액,영업이익,당기순이익,ROE,기준연도,적용 영업이익(E),적용 영업이익 기준연도,적용 당기순이익(E),적용 당기순이익 기준연도,적용 ROE(E),적용 ROE 기준연도,적용 ROE 소스,종목코드,종목명
2021,2796048.0,516339.0,399075.0,13.92,2026,4691808.0,2028,3873076.0,2028,52.67,2026,FnGuide 메인 재무테이블 올해 전망,A005930,삼성전자
2022,3022314.0,433766.0,556541.0,17.07,2026,4691808.0,2028,3873076.0,2028,52.67,2026,FnGuide 메인 재무테이블 올해 전망,A005930,삼성전자
2023,2589355.0,65670.0,154871.0,4.14,2026,4691808.0,2028,3873076.0,2028,52.67,2026,FnGuide 메인 재무테이블 올해 전망,A005930,삼성전자
2024,3008709.0,327260.0,344514.0,9.03,2026,4691808.0,2028,3873076.0,2028,52.67,2026,FnGuide 메인 재무테이블 올해 전망,A005930,삼성전자
2025,3336059.0,436011.0,452068.0,10.85,2026,4691808.0,2028,3873076.0,2028,52.67,2026,FnGuide 메인 재무테이블 올해 전망,A005930,삼성전자
2026,7021976.0,3619668.0,3010305.0,52.67,2026,4691808.0,2028,3873076.0,2028,52.67,2026,FnGuide 메인 재무테이블 올해 전망,A005930,삼성전자
2027,8838832.0,4986002.0,4082961.0,45.74,2026,4691808.0,2028,3873076.0,2028,52.67,2026,FnGuide 메인 재무테이블 올해 전망,A005930,삼성전자
2028,9069645.0,4691808.0,3873076.0,31.06,2026,4691808.0,2028,3873076.0,2028,52.67,2026,FnGuide 메인 재무테이블 올해 전망,A005930,삼성전자
2021,429978.0,124103.0,96162.0,16.84,2026,3831020.0,2028,3110281.0,2028,95.67,2026,FnGuide 메인 재무테이블 올해 전망,A000660,SK하이닉스
2022,446216.0,68094.0,22417.0,3.56,2026,3831020.0,2028,3110281.0,2028,95.67,2026,FnGuide 메인 재무테이블 올해 전망,A000660,SK하이닉스
2023,327657.0,-77303.0,-91375.0,-15.61,2026,3831020.0,2028,3110281.0,2028,95.67,2026,FnGuide 메인 재무테이블 올해 전망,A000660,SK하이닉스
2024,661930.0,234673.0,197969.0,31.06,2026,3831020.0,2028,3110281.0,2028,95.67,2026,FnGuide 메인 재무테이블 올해 전망,A000660,SK하이닉스
2025,971467.0,472063.0,429479.0,44.15,2026,3831020.0,2028,3110281.0,2028,95.67,2026,FnGuide 메인 재무테이블 올해 전망,A000660,SK하이닉스
2026,3450588.0,2652302.0,2207041.0,95.67,2026,3831020.0,2028,3110281.0,2028,95.67,2026,FnGuide 메인 재무테이블 올해 전망,A000660,SK하이닉스
2027,4970561.0,3860663.0,3104983.0,63.05,2026,3831020.0,2028,3110281.0,2028,95.67,2026,FnGuide 메인 재무테이블 올해 전망,A000660,SK하이닉스
2028,5183772.0,3831020.0,3110281.0,39.25,2026,3831020.0,2028,3110281.0,2028,95.67,2026,FnGuide 메인 재무테이블 올해 전망,A000660,SK하이닉스
2021,15680.0,5373.0,3936.0,8.21,2026,32179.0,2028,25059.0,2028,21.67,2026,FnGuide 메인 재무테이블 올해 전망,A207940,삼성바이오로직스
2022,30013.0,9836.0,7981.0,11.42,2026,32179.0,2028,25059.0,2028,21.67,2026,FnGuide 메인 재무테이블 올해 전망,A207940,삼성바이오로직스
2023,36946.0,11137.0,8577.0,9.12,2026,32179.0,2028,25059.0,2028,21.67,2026,FnGuide 메인 재무테이블 올해 전망,A207940,삼성바이오로직스
2024,34971.0,13214.0,10833.0,10.45,2026,32179.0,2028,25059.0,2028,21.67,2026,FnGuide 메인 재무테이블 올해 전망,A207940,삼성바이오로직스
2025,45570.0,20692.0,17844.0,19.44,2026,32179.0,2028,25059.0,2028,21.67,2026,FnGuide 메인 재무테이블 올해 전망,A207940,삼성바이오로직스
2026,54273.0,25051.0,19656.0,21.67,2026,32179.0,2028,25059.0,2028,21.67,2026,FnGuide 메인 재무테이블 올해 전망,A207940,삼성바이오로직스
2027,62868.0,28932.0,22460.0,19.47,2026,32179.0,2028,25059.0,2028,21.67,2026,FnGuide 메인 재무테이블 올해 전망,A207940,삼성바이오로직스
2028,70506.0,32179.0,25059.0,18.38,2026,32179.0,2028,25059.0,2028,21.67,2026,FnGuide 메인 재무테이블 올해 전망,A207940,삼성바이오로직스
2021,18934.0,7442.0,5958.0,16.04,2026,24495.0,2028,19843.0,2028,8.19,2026,FnGuide 메인 재무테이블 올해 전망,A068270,셀트리온
2022,22840.0,6472.0,5426.0,13.35,2026,24495.0,2028,19843.0,2028,8.19,2026,FnGuide 메인 재무테이블 올해 전망,A068270,셀트리온
2023,21764.0,6515.0,5397.0,5.07,2026,24495.0,2028,19843.0,2028,8.19,2026,FnGuide 메인 재무테이블 올해 전망,A068270,셀트리온
2024,35573.0,4920.0,4189.0,2.46,2026,24495.0,2028,19843.0,2028,8.19,2026,FnGuide 메인 재무테이블 올해 전망,A068270,셀트리온
2025,41625.0,11685.0,10315.0,5.94,2026,24495.0,2028,19843.0,2028,8.19,2026,FnGuide 메인 재무테이블 올해 전망,A068270,셀트리온
2026,53015.0,17561.0,14621.0,8.19,2026,24495.0,2028,19843.0,2028,8.19,2026,FnGuide 메인 재무테이블 올해 전망,A068270,셀트리온
2027,61012.0,20902.0,16879.0,8.83,2026,24495.0,2028,19843.0,2028,8.19,2026,FnGuide 메인 재무테이블 올해 전망,A068270,셀트리온
2028,67641.0,24495.0,19843.0,9.57,2026,24495.0,2028,19843.0,2028,8.19,2026,FnGuide 메인 재무테이블 올해 전망,A068270,셀트리온
2021,1176106.0,66789.0,56931.0,6.84,2026,145644.0,2028,134633.0,2028,8.76,2026,FnGuide 메인 재무테이블 올해 전망,A005380,현대차
2022,1421515.0,98249.0,79836.0,9.36,2026,145644.0,2028,134633.0,2028,8.76,2026,FnGuide 메인 재무테이블 올해 전망,A005380,현대차
2023,1626636.0,151269.0,122723.0,13.68,2026,145644.0,2028,134633.0,2028,8.76,2026,FnGuide 메인 재무테이블 올해 전망,A005380,현대차
2024,1752312.0,142396.0,132299.0,12.43,2026,145644.0,2028,134633.0,2028,8.76,2026,FnGuide 메인 재무테이블 올해 전망,A005380,현대차
2025,1862545.0,114679.0,103648.0,8.41,2026,145644.0,2028,134633.0,2028,8.76,2026,FnGuide 메인 재무테이블 올해 전망,A005380,현대차
2026,1941923.0,120178.0,113882.0,8.76,2026,145644.0,2028,134633.0,2028,8.76,2026,FnGuide 메인 재무테이블 올해 전망,A005380,현대차
2027,2026463.0,133608.0,125103.0,8.97,2026,145644.0,2028,134633.0,2028,8.76,2026,FnGuide 메인 재무테이블 올해 전망,A005380,현대차
2028,2123837.0,145644.0,134633.0,9.11,2026,145644.0,2028,134633.0,2028,8.76,2026,FnGuide 메인 재무테이블 올해 전망,A005380,현대차
2021,698624.0,50657.0,47603.0,14.69,2026,118520.0,2028,96425.0,2028,13.0,2026,FnGuide 메인 재무테이블 올해 전망,A000270,기아
2022,865590.0,72331.0,54090.0,14.57,2026,118520.0,2028,96425.0,2028,13.0,2026,FnGuide 메인 재무테이블 올해 전망,A000270,기아
2023,998084.0,116079.0,87778.0,20.44,2026,118520.0,2028,96425.0,2028,13.0,2026,FnGuide 메인 재무테이블 올해 전망,A000270,기아
2024,1074488.0,126671.0,97750.0,19.09,2026,118520.0,2028,96425.0,2028,13.0,2026,FnGuide 메인 재무테이블 올해 전망,A000270,기아
2025,1141409.0,90781.0,75542.0,12.92,2026,118520.0,2028,96425.0,2028,13.0,2026,FnGuide 메인 재무테이블 올해 전망,A000270,기아
2026,1229653.0,101295.0,83251.0,13.0,2026,118520.0,2028,96425.0,2028,13.0,2026,FnGuide 메인 재무테이블 올해 전망,A000270,기아
2027,1288198.0,111680.0,90845.0,12.93,2026,118520.0,2028,96425.0,2028,13.0,2026,FnGuide 메인 재무테이블 올해 전망,A000270,기아
2028,1336197.0,118520.0,96425.0,12.53,2026,118520.0,2028,96425.0,2028,13.0,2026,FnGuide 메인 재무테이블 올해 전망,A000270,기아
2021,68176.0,13255.0,164776.0,106.72,2026,31621.0,2028,26042.0,2028,6.79,2026,FnGuide 메인 재무테이블 올해 전망,A035420,NAVER
2022,82201.0,13047.0,6732.0,3.29,2026,31621.0,2028,26042.0,2028,6.79,2026,FnGuide 메인 재무테이블 올해 전망,A035420,NAVER
2023,96706.0,14888.0,9850.0,4.41,2026,31621.0,2028,26042.0,2028,6.79,2026,FnGuide 메인 재무테이블 올해 전망,A035420,NAVER
2024,107377.0,19793.0,19320.0,7.9,2026,31621.0,2028,26042.0,2028,6.79,2026,FnGuide 메인 재무테이블 올해 전망,A035420,NAVER
2025,120350.0,22081.0,18187.0,7.36,2026,31621.0,2028,26042.0,2028,6.79,2026,FnGuide 메인 재무테이블 올해 전망,A035420,NAVER
2026,136892.0,24163.0,19320.0,6.79,2026,31621.0,2028,26042.0,2028,6.79,2026,FnGuide 메인 재무테이블 올해 전망,A035420,NAVER
2027,152361.0,27910.0,23413.0,7.59,2026,31621.0,2028,26042.0,2028,6.79,2026,FnGuide 메인 재무테이블 올해 전망,A035420,NAVER
2028,170053.0,31621.0,26042.0,7.94,2026,31621.0,2028,26042.0,2028,6.79,2026,FnGuide 메인 재무테이블 올해 전망,A035420,NAVER
2021,59105.0,5879.0,16405.0,17.08,2026,12624.0,2028,10801.0,2028,5.91,2026,FnGuide 메인 재무테이블 올해 전망,A035720,카카오
2022,67987.0,5694.0,10670.0,13.62,2026,12624.0,2028,10801.0,2028,5.91,2026,FnGuide 메인 재무테이블 올해 전망,A035720,카카오
2023,75570.0,4609.0,-18167.0,-10.26,2026,12624.0,2028,10801.0,2028,5.91,2026,FnGuide 메인 재무테이블 올해 전망,A035720,카카오
